http://greek-lod.math.auth.gr/kalikratis/resource/municipalities/9031;Δήμος Θεσσαλονίκης;http://el.dbpedia.org/resource/Δήμος_Θεσσαλονίκης
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/αξίωμα;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
