http://greek-lod.math.auth.gr/kalikratis/resource/municipalities/9169;Δήμος Βριλησσίων;http://el.dbpedia.org/resource/Βριλήσσια
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/ανατολικά;1;0
http://el.dbpedia.org/property/βορειοανατολικά;1;0
http://el.dbpedia.org/property/βορειοδυτικά;1;0
http://el.dbpedia.org/property/βόρεια;1;0
http://el.dbpedia.org/property/δυτικά;1;0
http://el.dbpedia.org/property/κέντρο;1;0
http://el.dbpedia.org/property/νοτιοανατολικά;1;0
http://el.dbpedia.org/property/νοτιοδυτικά;1;0
http://el.dbpedia.org/property/νότια;1;0
http://el.dbpedia.org/property/τίτλος;1;0
http://el.dbpedia.org/resource/Πρότυπο:Γεωγραφική_θέση;1;0
http://purl.org/dc/terms/subject;1;0
http://www.georss.org/georss/point;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#lat;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#long;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/location;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/ανατολικά;0;1
http://el.dbpedia.org/property/βορειοδυτικά;0;1
http://el.dbpedia.org/property/περιοχή;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
