http://greek-lod.math.auth.gr/kalikratis/resource/municipalities/9173;Δήμος Μεταμορφώσεως;http://el.dbpedia.org/resource/Μεταμόρφωση_Αττικής
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/α;1;0
http://el.dbpedia.org/property/β;1;0
http://el.dbpedia.org/property/δ;1;0
http://el.dbpedia.org/property/ν;1;0
http://el.dbpedia.org/property/τίτλος;1;0
http://el.dbpedia.org/resource/Πρότυπο:Γύρω_περιοχές;1;0
http://purl.org/dc/terms/subject;1;0
http://www.georss.org/georss/point;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#lat;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#long;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/location;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/δυτικά;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
