http://greek-lod.math.auth.gr/kalikratis/resource/municipalities/9181;Δήμος Αιγάλεω;http://el.dbpedia.org/resource/Αιγάλεω
http://dbpedia.org/ontology/PopulatedPlace/areaTotal;1;0
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/areaTotal;1;0
http://dbpedia.org/ontology/censusYear;1;0
http://dbpedia.org/ontology/populationTotal;1;0
http://dbpedia.org/ontology/postalCode;1;0
http://dbpedia.org/ontology/province;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/έκταση;1;0
http://el.dbpedia.org/property/απογραφή;1;0
http://el.dbpedia.org/property/γεωγραφικόδιαμέρισμα;1;0
http://el.dbpedia.org/property/δήμαρχος;1;0
http://el.dbpedia.org/property/ιστοσελίδα;1;0
http://el.dbpedia.org/property/λεζάνταΕικόνας;1;0
http://el.dbpedia.org/property/νομός;1;0
http://el.dbpedia.org/property/περιφέρεια;1;0
http://el.dbpedia.org/property/πινακίδες;1;0
http://el.dbpedia.org/property/πληθυσμός;1;0
http://el.dbpedia.org/property/πόλη;1;0
http://el.dbpedia.org/property/ταχυδρομικόςκωδικός;1;0
http://el.dbpedia.org/property/τηλεφωνικόςκωδικός;1;0
http://el.dbpedia.org/property/χώρα;1;0
http://el.dbpedia.org/resource/Πρότυπο:Πόλη_(Ελλάδα);1;0
http://purl.org/dc/terms/subject;1;0
http://www.georss.org/georss/point;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#lat;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#long;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/name;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/birthPlace;0;1
http://dbpedia.org/ontology/wikiPageDisambiguates;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/βα;0;1
http://el.dbpedia.org/property/να;0;1
http://el.dbpedia.org/property/πόληΓέννησης;0;1
http://el.dbpedia.org/property/τόπος;0;1
http://el.dbpedia.org/property/τόποςΓέννησης;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
