http://greek-lod.math.auth.gr/kalikratis/resource/municipalities/9188;Δήμος Γαλατσίου;http://el.dbpedia.org/resource/Γαλάτσι
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/country;1;0
http://dbpedia.org/ontology/elevation;1;0
http://dbpedia.org/ontology/postalCode;1;0
http://dbpedia.org/ontology/province;1;0
http://dbpedia.org/ontology/region;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/έκτασηΔήμου;1;0
http://el.dbpedia.org/property/έκτασηΠόλης;1;0
http://el.dbpedia.org/property/γεωγραφικόΔιαμέρισμα;1;0
http://el.dbpedia.org/property/δήμαρχος;1;0
http://el.dbpedia.org/property/δήμος;1;0
http://el.dbpedia.org/property/ιστοσελίδα;1;0
http://el.dbpedia.org/property/νομός;1;0
http://el.dbpedia.org/property/περιφέρεια;1;0
http://el.dbpedia.org/property/πληθυσμόςΔήμου;1;0
http://el.dbpedia.org/property/πληθυσμόςΠόλης;1;0
http://el.dbpedia.org/property/πυκνότηταΠληθυσμούΔήμου;1;0
http://el.dbpedia.org/property/πόλη;1;0
http://el.dbpedia.org/property/ταχυδρομικόςΚωδικός;1;0
http://el.dbpedia.org/property/τηλεφωνικόςΚωδικός;1;0
http://el.dbpedia.org/property/υψόμετρο;1;0
http://el.dbpedia.org/property/χώρα;1;0
http://el.dbpedia.org/resource/Πρότυπο:Πόλη_1;1;0
http://purl.org/dc/terms/subject;1;0
http://www.georss.org/georss/point;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#lat;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#long;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/birthPlace;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/δυτικά;0;1
http://el.dbpedia.org/property/τόποςΓέννησης;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
