http://greek-lod.math.auth.gr/kalikratis/resource/regions/2;Περιφέρεια Κεντρικής Μακεδονίας;http://el.dbpedia.org/resource/Περιφέρεια_Κεντρικής_Μακεδονίας
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/isocode;1;0
http://el.dbpedia.org/property/nuts;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/έδρα;1;0
http://el.dbpedia.org/property/έκταση;1;0
http://el.dbpedia.org/property/απογραφή;1;0
http://el.dbpedia.org/property/αποκεντρωμένηΔιοίκηση;1;0
http://el.dbpedia.org/property/δήμοι;1;0
http://el.dbpedia.org/property/διαμέρισμα;1;0
http://el.dbpedia.org/property/ενότητες;1;0
http://el.dbpedia.org/property/ιστότοπος;1;0
http://el.dbpedia.org/property/περιφέρεια;1;0
http://el.dbpedia.org/property/περιφερειάρχης;1;0
http://el.dbpedia.org/property/πληθυσμός;1;0
http://el.dbpedia.org/property/πυκνότητα;1;0
http://el.dbpedia.org/resource/Πρότυπο:Πληροφορίες_καλλικρατικής_περιφέρειας_της_Ελλάδας;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/region;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/περιφέρεια;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
