http://greek-lod.math.auth.gr/kalikratis/resource/regions/10;Περιφέρεια Πελοποννήσου;http://dbpedia.org/resource/Peloponnese
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://dbpedia.org/property/hasPhotoCollection;1;0
http://purl.org/dc/terms/subject;1;0
http://www.georss.org/georss/point;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#geometry;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#lat;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#long;1;0
http://www.w3.org/ns/prov#wasDerivedFrom;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf;1;0
http://dbpedia.org/ontology/birthPlace;0;1
http://dbpedia.org/ontology/deathPlace;0;1
http://dbpedia.org/ontology/locatedInArea;0;1
http://dbpedia.org/ontology/location;0;1
http://dbpedia.org/ontology/origin;0;1
http://dbpedia.org/ontology/place;0;1
http://dbpedia.org/ontology/populationPlace;0;1
http://dbpedia.org/ontology/residence;0;1
http://dbpedia.org/ontology/restingPlace;0;1
http://dbpedia.org/ontology/spokenIn;0;1
http://dbpedia.org/ontology/state;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://dbpedia.org/property/birthPlace;0;1
http://dbpedia.org/property/combatant;0;1
http://dbpedia.org/property/deathPlace;0;1
http://dbpedia.org/property/location;0;1
http://dbpedia.org/property/origin;0;1
http://dbpedia.org/property/periph;0;1
http://dbpedia.org/property/place;0;1
http://dbpedia.org/property/placeOfBirth;0;1
http://dbpedia.org/property/placeOfBurial;0;1
http://dbpedia.org/property/placeOfDeath;0;1
http://dbpedia.org/property/region;0;1
http://dbpedia.org/property/regions;0;1
http://dbpedia.org/property/state;0;1
http://www.w3.org/2002/07/owl#sameAs;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
