http://greek-lod.math.auth.gr/kalikratis/resource/regions/11;Περιφέρεια Βορείου Αιγαίου;http://dbpedia.org/resource/North_Aegean
http://dbpedia.org/ontology/PopulatedPlace/areaTotal;1;0
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/areaTotal;1;0
http://dbpedia.org/ontology/country;1;0
http://dbpedia.org/ontology/leaderParty;1;0
http://dbpedia.org/ontology/leaderTitle;1;0
http://dbpedia.org/ontology/part;1;0
http://dbpedia.org/ontology/populationTotal;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://dbpedia.org/property/areaTotalKm;1;0
http://dbpedia.org/property/blankEmblemType;1;0
http://dbpedia.org/property/coordinatesDisplay;1;0
http://dbpedia.org/property/hasPhotoCollection;1;0
http://dbpedia.org/property/imageBlankEmblem;1;0
http://dbpedia.org/property/imageMap;1;0
http://dbpedia.org/property/isoCode;1;0
http://dbpedia.org/property/latd;1;0
http://dbpedia.org/property/leaderName;1;0
http://dbpedia.org/property/leaderParty;1;0
http://dbpedia.org/property/leaderTitle;1;0
http://dbpedia.org/property/longd;1;0
http://dbpedia.org/property/name;1;0
http://dbpedia.org/property/p;1;0
http://dbpedia.org/property/partsStyle;1;0
http://dbpedia.org/property/partsType;1;0
http://dbpedia.org/property/populationAsOf;1;0
http://dbpedia.org/property/populationDensityKm;1;0
http://dbpedia.org/property/populationTotal;1;0
http://dbpedia.org/property/seat;1;0
http://dbpedia.org/property/seatType;1;0
http://dbpedia.org/property/subdivisionType;1;0
http://dbpedia.org/property/type;1;0
http://dbpedia.org/property/website;1;0
http://dbpedia.org/property/wikiPageUsesTemplate;1;0
http://purl.org/dc/terms/subject;1;0
http://www.georss.org/georss/point;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#geometry;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#lat;1;0
http://www.w3.org/2003/01/geo/wgs84_pos#long;1;0
http://www.w3.org/ns/prov#wasDerivedFrom;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf;1;0
http://xmlns.com/foaf/0.1/name;1;0
http://dbpedia.org/ontology/birthPlace;0;1
http://dbpedia.org/ontology/isPartOf;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://dbpedia.org/property/periph;0;1
http://dbpedia.org/property/subdivisionName;0;1
http://www.w3.org/2002/07/owl#sameAs;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
