http://greek-lod.math.auth.gr/kalikratis/resource/regions/4;Περιφέρεια Ηπείρου;http://dbpedia.org/resource/Epirus
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://dbpedia.org/property/hasPhotoCollection;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2000/01/rdf-schema#seeAlso;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/ns/prov#wasDerivedFrom;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf;1;0
http://dbpedia.org/ontology/birthPlace;0;1
http://dbpedia.org/ontology/origin;0;1
http://dbpedia.org/ontology/place;0;1
http://dbpedia.org/ontology/wikiPageDisambiguates;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://dbpedia.org/property/birthPlace;0;1
http://dbpedia.org/property/combatant;0;1
http://dbpedia.org/property/origin;0;1
http://dbpedia.org/property/placeOfBirth;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
