http://greek-lod.math.auth.gr/kalikratis/resource/regions/8;Περιφέρεια Στερεάς Ελλάδας;http://dbpedia.org/resource/Central_Greece
http://dbpedia.org/ontology/PopulatedPlace/areaTotal;1;0
http://dbpedia.org/ontology/PopulatedPlace/populationDensity;1;0
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/areaTotal;1;0
http://dbpedia.org/ontology/part;1;0
http://dbpedia.org/ontology/populationDensity;1;0
http://dbpedia.org/ontology/populationTotal;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/type;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://dbpedia.org/property/areaTotalKm;1;0
http://dbpedia.org/property/hasPhotoCollection;1;0
http://dbpedia.org/property/imageMap;1;0
http://dbpedia.org/property/mapCaption;1;0
http://dbpedia.org/property/mapsize;1;0
http://dbpedia.org/property/name;1;0
http://dbpedia.org/property/nativeName;1;0
http://dbpedia.org/property/nativeNameLang;1;0
http://dbpedia.org/property/p;1;0
http://dbpedia.org/property/partsStyle;1;0
http://dbpedia.org/property/partsType;1;0
http://dbpedia.org/property/populationDemonym;1;0
http://dbpedia.org/property/populationDensityKm;1;0
http://dbpedia.org/property/populationTotal;1;0
http://dbpedia.org/property/seat;1;0
http://dbpedia.org/property/seatType;1;0
http://dbpedia.org/property/settlementType;1;0
http://dbpedia.org/property/wikiPageUsesTemplate;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/ns/prov#wasDerivedFrom;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf;1;0
http://xmlns.com/foaf/0.1/name;1;0
http://dbpedia.org/ontology/location;0;1
http://dbpedia.org/ontology/place;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://dbpedia.org/property/combatant;0;1
http://dbpedia.org/property/location;0;1
http://dbpedia.org/property/periph;0;1
http://dbpedia.org/property/place;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
