http://greek-lod.math.auth.gr/kalikratis/resource/regions/9;Περιφέρεια Αττικής;http://dbpedia.org/resource/Attica
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://dbpedia.org/property/caption;1;0
http://dbpedia.org/property/captionMap;1;0
http://dbpedia.org/property/dialects;1;0
http://dbpedia.org/property/hasPhotoCollection;1;0
http://dbpedia.org/property/imageMap;1;0
http://dbpedia.org/property/keyPeriods;1;0
http://dbpedia.org/property/location;1;0
http://dbpedia.org/property/majorCities;1;0
http://dbpedia.org/property/name;1;0
http://dbpedia.org/property/namePolytonic;1;0
http://dbpedia.org/property/wikiPageUsesTemplate;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2000/01/rdf-schema#seeAlso;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://www.w3.org/ns/prov#wasDerivedFrom;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf;1;0
http://dbpedia.org/ontology/birthPlace;0;1
http://dbpedia.org/ontology/broadcastArea;0;1
http://dbpedia.org/ontology/city;0;1
http://dbpedia.org/ontology/deathPlace;0;1
http://dbpedia.org/ontology/hometown;0;1
http://dbpedia.org/ontology/isPartOf;0;1
http://dbpedia.org/ontology/locatedInArea;0;1
http://dbpedia.org/ontology/location;0;1
http://dbpedia.org/ontology/part;0;1
http://dbpedia.org/ontology/place;0;1
http://dbpedia.org/ontology/populationPlace;0;1
http://dbpedia.org/ontology/region;0;1
http://dbpedia.org/ontology/residence;0;1
http://dbpedia.org/ontology/spokenIn;0;1
http://dbpedia.org/ontology/state;0;1
http://dbpedia.org/ontology/territory;0;1
http://dbpedia.org/ontology/wikiPageDisambiguates;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://dbpedia.org/property/area;0;1
http://dbpedia.org/property/birthPlace;0;1
http://dbpedia.org/property/city;0;1
http://dbpedia.org/property/location;0;1
http://dbpedia.org/property/origin;0;1
http://dbpedia.org/property/p;0;1
http://dbpedia.org/property/periph;0;1
http://dbpedia.org/property/place;0;1
http://dbpedia.org/property/placeOfBirth;0;1
http://dbpedia.org/property/region;0;1
http://dbpedia.org/property/regions;0;1
http://dbpedia.org/property/residence;0;1
http://dbpedia.org/property/state;0;1
http://dbpedia.org/property/subdivisionName;0;1
http://www.w3.org/2002/07/owl#sameAs;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
