"CODE","DESCRIPTION","LOCAL_DESCRIPTION","COUNTRY_ABBREVIATION","G1"
"AED","AEDIPSOS","Αιδηψός","GR","Edipsos"
"AIG","AEGIALI","Αιγιάλη","GR","Egiali"
"AEG","AEGINA","Αίγινα","GR","Egina"
"AGN","AG. NIKOLAOS","Άγιος Νικόλαος","GR","Agios Nikolaos"
"AGC","AG.CONSTANTINOS","Άγιος Κωνσταντίνος","GR","Agios Konstadinos"
"AES","AG.EYSTRATIOS","Άγιος Ευστράτιος","GR","Agios Efstratios"
"AGK","AG.KIRIKOS","Άγιος Κήρυκος","GR","Agios Kirikos"
"AMN","AG.MARINA(EVOIA)","Αγία Μαρίνα(Εύβοια)","GR","Agia Marina(Evvia)"
"AGM","AG.MARINA(LEROS)","Αγία Μαρίνα(Λέρος)","GR","Agia Marina(Leros)"
"ROU","AG.ROUMELI","Αγία Ρουμέλη","GR","Agia Rumeli"
"AGA","AGATHONISI","Αγαθονήσι","GR","Agathonissi"
"TRI","AGIA KYRIAKH","Αγία Κυριακή","GR","Agia Kiriaki"
"AGS","AGISTRI","Αγκίστρι","GR","Angistri"
"AGG","AGISTRI-MYLI","Αγκίστρι-Μύλοι","GR","Angistri-Mili"
"AXL","ALEX/POLI","Αλεξανδρούπολη","GR","Alexandrupoli"
"ALM","ALMIROPOTAMOS","Αλμυροπόταμος","GR","Almiropotamos"
"ALO","ALONISSOS","Αλόνησσος","GR","Alonissos"
"AMR","AMORGOS","Αμοργός","GR","Amorgos"
"ANA","ANAFI","Ανάφη","GR","Anafi"
"ANC","ANCONA","Ανκόνα","IT","Ankona"
"AND","ANDROS","Άνδρος","GR","Andros"
"AKT","ANTIKYTHIRA","Αντικύθηρα","GR","Adikithira"
"ANP","ANTIPAROS","Αντίπαρος","GR","Adiparos"
"ARM","ARGOSTOLI","Αργοστόλι","GR","Argostoli"
"AKR","ARKITSA","Αρκίτσα","GR","Arkitsa"
"ARK","ARKYI","Αρκιοί","GR","Arkii"
"AST","ASTAKOS","Αστακός","GR","Astakos"
"JTY","ASTYPALEA","Αστυπάλαια","GR","Astipalea"
"BAR","BARI","Μπάρι","IT","Bari"
"BXN","BODRUM",,"TR","Bodrum"
"BRI","BRINDISI","Μπρίντιζι","IT","Bridisi"
"CES","CESME",,"TR","Çeşme"
"CHL","CHALKI","Χάλκη","GR","Chalki"
"CLK","CHALKIS","Χαλκίδα","GR","Chalkida"
"CHA","CHANIA","Χανιά","GR","Chania"
"CHI","CHIOS","Χίος","GR","Chios"
"CHR","CHRISOMHLEA(FOURNOI)","Χρυσομηλιά(Φούρνοι)","GR","Chrissomilia(Furni)"
"CFU","CORFU","Κέρκυρα","GR","Kerkira"
"DFN","DIAFANI","Διαφάνι","GR","Diafani"
"DON","DONOUSSA","Δονούσα","GR","Donussa"
"DRZ","DURRES",,"AL","Durrës"
"EYD","EVDILOS","Εύδηλος","GR","Evdilos"
"FAR","FARMAKONISI","Φαρμακονήσι","GR","Farmakonisi"
"FOI","FINIKAS","Φοίνικας","GR","Finikas"
"FOL","FOLEGANDROS","Φολέγανδρος","GR","Folegandros"
"FOU","FOURNI","Φούρνοι","GR","Furni"
"GVP","GAVDOPOULA","Γαυδοπούλα","GR","Gavdopula"
"GVD","GAVDOS","Γαύδος","GR","Gavdos"
"GER","GERAKAS","Γέρακας","GR","Gerakas"
"GLO","GLOSSA","Γλώσσα","GR","Glossa"
"GYT","GYTHIO","Γύθειο","GR","Githio"
"HER","HERAKLIO","Ηράκλειο","GR","Iraklio"
"ERM","HERMIONI","Ερμιονίδα","GR","Ermionida"
"HYD","HYDRA","Ύδρα","GR","Idra"
"IGO","IGOUMENITSA","Ηγουμενίτσα","GR","Igumenitsa"
"INO","INOUSSES","Οινούσσες","GR","Inusses"
"IOS","IOS","Ίος","GR","Ios"
"IRK","IRAKLIA","Ηρακλειά","GR","Iraklia"
"PSA","ITHAKI(PISAETOS)","Ιθάκη(Πισαετός)","GR","Ithaki(Pissaetos)"
"VAT","ITHAKI(VATHI)","Ιθάκη(Βαθύ)","GR","Ithaki(Vathi)"
"KLX","KALAMATA","Καλαμάτα","GR","Kalamata"
"KAL","KALYMNOS","Κάλυμνος","GR","Kalimnos"
"KMO","KAMEIROS","Κάμειρος","GR","Kamiros"
"KRM","KARDAMENA","Καρδάμαινα","GR","Kardamena"
"KST","KARISTOS","Κάρυστος","GR","Karistos"
"KAR","KARLOVASSI","Καρλόβασι","GR","Karlovassi"
"AOK","KARPATHOS","Κάρπαθος","GR","Karpathos"
"KSJ","KASOS","Κάσος","GR","Kassos"
"KAZ","KASTELORIZO","Καστελόριζο","GR","Kasteloriso"
"AMO","KATAPOLA","Κατάπολα","GR","Katapola"
"KAV","KAVALA","Καβάλα","GR","Kavala"
"KEA","KEA","Κέα","GR","Kea"
"KER","KERAMOTI","Κεραμωτή","GR","Keramoti"
"KIL","KILINI","Κυλλήνη","GR","Killini"
"KMS","KIMOLOS","Κίμωλος","GR","Kimolos"
"KIS","KISSAMOS","Κίσσαμος","GR","Kissamos"
"CRG","KORINTHOS","Κόρινθος","GR","Korinthos"
"KGS","KOS","Κως","GR","Kos"
"KOU","KOUFONISSI","Κουφονήσια","GR","Kufonissia"
"KYM","KYMI","Κύμη","GR","Kimi"
"KYP","KYPARISSI","Κυπαρίσσια","GR","Kiparissia"
"KTH","KYTHIRA","Κύθηρα","GR","Kithira"
"KYT","KYTHNOS","Κύθνος","GR","Kithnos"
"LGD","LAGADA","Λαγκαδάς","GR","Langadas"
"LAV","LAVRIO","Λαύριο","GR","Lavrio"
"LFK","LEFKIMMI","Λευκίμμη","GR","Lefkimmi"
"LEO","LEONIDIO","Λεωνίδιο","GR","Leonidio"
