Περιφέρεια Ανατολικής Μακεδονίας και Θράκης;606,170;299,100;307,070;4.282
Περιφέρεια Αττικής;3.812.330;1.842.680;1.969.650;1.001,11
Περιφέρεια Βορείου Αιγαίου;197,810;99,520;98,290;5.157
Περιφέρεια Δυτικής Ελλάδας;680,190;341,400;338,790;5.993
Περιφέρεια Δυτικής Μακεδονίας;282,120;141,260;140,860;2.985
Περιφέρεια Ηπείρου;336,650;165,890;170,760;3.658
Περιφέρεια Θεσσαλίας;730,730;361,900;368,830;5.206
Περιφέρεια Ιονίων Νήσων;206,470;102,020;104,450;8.950
Περιφέρεια Κεντρικής Μακεδονίας;1.874.590;910,270;964,320;9.966
Περιφέρεια Κρήτης;621,340;308,760;312,580;7.454
Περιφέρεια Νοτίου Αιγαίου;308,610;155,990;152,620;5.838
Περιφέρεια Πελοποννήσου;581,980;294,910;287,070;3.757
Περιφέρεια Στερεάς Ελλάδας;546,870;278,160;268,710;3.517
