--------- Περιφέρεια Ανατολικής Μακεδονίας - Θράκης ---------
"ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ","110310161.21999999985434","2010-12-28T00:00:00.000+02:00","Null",
"ΕΝΔΙΑΜΕΣΗ ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ ΠΕΡΙΦΕΡΕΙΑΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ","614135.960000000002","2000-12-08T00:00:00.000+02:00","Null",

--------- Περιφέρεια Αττικής ---------
"ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ","9249879.24000000001","2010-12-21T00:00:00.000+02:00","Null",
"ΕΝΔΙΑΜΕΣΗ ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗΣ","82447.9299999999998","2001-01-18T00:00:00.000+02:00","Null",

--------- Περιφέρεια Βορείου Αιγαίου ---------
"ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ","26229522.2500000000555","2011-01-01T00:00:00.000+02:00","Null",
"ΕΝΔΙΑΜΕΣΗ ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ ΠΕΡΙΦΕΡΕΙΑΣ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ","802977.18999999999986","2000-12-08T00:00:00.000+02:00","Null",

--------- Περιφέρεια Δυτικής Ελλάδας ---------
"ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","114528574.529999999797502","2010-12-30T00:00:00.000+02:00","Null",

--------- Περιφέρεια Δυτικής Μακεδονίας ---------
"ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","4090093.93","2010-06-07T00:00:00.000+03:00","Null",
"ΕΝΔΙΑΜΕΣΗ ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ ΠΕΡΙΦΕΡΕΙΑΣ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","406974.6300000000001","2000-12-08T00:00:00.000+02:00","Null",

--------- Περιφέρεια Ηπείρου ---------
"ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ","111072815.670000000024528","2010-12-28T00:00:00.000+02:00","Null",
"ΠΕΡΙΦΕΡΕΙΑΚΟ ΤΑΜΕΙΟ ΑΝΑΠΤΥΞΗΣ ΗΠΕΙΡΟΥ","105935754.8499999997004","1998-04-07T00:00:00.000+03:00","Null",

--------- Περιφέρεια Θεσσαλίας ---------
"ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ","68304734.469999999563116","2010-12-28T00:00:00.000+02:00","Null",

--------- Περιφέρεια Ιονίων Νήσων ---------
"ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ","92088213.7200000000992","2010-06-07T00:00:00.000+03:00","Null",
"ΕΝΔΙΑΜΕΣΗ ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ ΠΕΡΙΦΕΡΕΙΑΣ ΙΟΝΙΩΝ ΝΗΣΙΩΝ","1929374.900000000004","2000-11-14T00:00:00.000+02:00","Null",

--------- Περιφέρεια Κεντρικής Μακεδονίας ---------
"ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","31163462.370000000005277","2010-06-07T00:00:00.000+03:00","Null",
"ΕΝΔΙΑΜΕΣΗ ΔΙΑΧΕΙΡΙΣΤΙΚΗ ΑΡΧΗ ΠΕΡΙΦΕΡΕΙΑΣ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","176521.26","2000-12-08T00:00:00.000+02:00","Null",

--------- Περιφέρεια Κρήτης ---------
"ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ","203862213.959999999962645","2010-12-29T00:00:00.000+02:00","Null",
"ΠΕΡΙΦΕΡΕΙΑΚΟ ΤΑΜΕΙΟ ΑΝΑΠΤΥΞΗΣ ΠΕΡΙΦΕΡΕΙΑΣ ΚΡΗΤΗΣ","866626","1998-01-30T00:00:00.000+02:00","Null",

--------- Περιφέρεια Νοτίου Αιγαίου ---------
"ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ","33377188.48000000002365","2010-12-28T00:00:00.000+02:00","Null",

--------- Περιφέρεια Πελοποννήσου ---------
"ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ","129170158.079999999670932","2010-12-29T00:00:00.000+02:00","Null",
"ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ","1801.8","1998-01-01T00:00:00.000+02:00","Null",

--------- Περιφέρεια Στερεάς Ελλάδας ---------
"ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","211888203.37000000006127","2011-01-05T00:00:00.000+02:00","Null",

